,name,polars,labels
0,2l_2n-1,"[(119.0, 0.9773843811168246), (40.0, 1.8238690683340744), (78.0, 0.5585053606381855), (100.0, 0.7853981633974483)]","[(112.0, 402.0), (209.00000000000003, 323.0), (64.0, 361.0), (90.0, 383.0)]"
0,2l_2n-2,"[(21.0, 2.181661564992912)]","[(250.00000000000003, 304.0)]"
0,2l_2n-3,"[(72.0, 0.35779249665883756), (54.0, 1.9547687622336491), (-75.0, 2.5830872929516078)]","[(41.0, 355.0), (224.0, 337.0), (296.0, 208.0)]"
0,2l_2n-4,"[(-39.0, 2.6965336943312392)]","[(309.0, 244.0)]"
0,2l_2n-5,"[(-24.0, 2.4870941840919194), (149.0, 1.4311699866353502), (0.0, 1.5707963267948966), (-40.0, 2.356194490192345), (-115.0, 2.7401669256310974), (200.0, 0.008726646259971648)]","[(285.0, 259.0), (164.0, 432.0), (180.0, 283.0), (270.0, 243.0), (314.0, 168.0), (1.0, 483.0)]"
0,2l_2n-6,"[(-4.0, 2.356194490192345), (54.0, 1.3962634015954636), (10.0, 2.2689280275926285), (30.0, 1.6667894356545847), (54.0, 1.2304571226560024), (-42.0, 2.897246558310587), (-45.0, 2.321287905152458), (-54.0, 2.609267231731523), (-85.0, 2.7663468644110125), (77.0, 1.2566370614359172), (-69.0, 2.6965336943312392)]","[(270.0, 279.0), (160.0, 337.0), (260.0, 293.0), (191.0, 313.0), (141.0, 337.0), (332.00000000000006, 241.0), (266.0, 238.0), (299.00000000000006, 229.0), (317.00000000000006, 198.0), (144.0, 360.0), (309.0, 214.0)]"
0,2l_2n-7,"[(85.0, 1.4224433403753787), (169.0, 0.8639379797371931), (200.0, 1.5533430342749532), (211.0, 0.8377580409572782), (125.0, 0.9948376736367679), (181.0, 1.2042771838760873)]","[(163.00000000000003, 368.0), (99.00000000000001, 452.0), (178.0, 483.0), (96.0, 494.0), (114.00000000000001, 408.0), (137.99999999999997, 464.0)]"
0,2l_2n-8,"[(1.0, 3.1328660073298216), (60.0, 1.9460421159736774), (17.0, 1.5707963267948966), (100.0, 2.2689280275926285), (27.0, 1.5184364492350666), (2.0, 2.609267231731523)]","[(359.0, 284.0), (223.0, 343.0), (180.0, 300.0), (260.0, 383.0), (174.0, 310.0), (299.00000000000006, 285.0)]"
0,2l_2n-9,"[(135.0, 1.1780972450961724), (57.0, 2.4609142453120048)]","[(135.0, 418.0), (282.0, 340.0)]"
0,2l_2n-10,"[(21.0, 1.4748032179352084)]","[(169.0, 304.0)]"
0,2l_2n-11,"[(158.0, 0.2617993877991494), (131.0, 0.3752457891787809), (0.0, 1.5707963267948966), (-48.0, 2.9408797896104453), (157.0, 0.6544984694978736), (125.0, 0.6981317007977318), (-89.0, 2.356194490192345)]","[(29.999999999999996, 441.0), (43.00000000000001, 414.0), (180.0, 283.0), (337.0, 235.0), (75.00000000000001, 440.0), (80.0, 408.0), (270.0, 194.0)]"
0,2l_2n-12,"[(-140.0, 3.1328660073298216), (204.0, 0.9599310885968813), (84.0, 0.2181661564992912), (-53.0, 2.5569073541716927), (-25.0, 2.356194490192345), (-85.0, 2.731440279371126), (164.0, 0.1832595714594046), (155.0, 0.08726646259971647), (-72.0, 2.652900463031381), (-102.0, 2.827433388230814), (-113.0, 2.8885199120506155), (-155.0, 3.12413936106985), (179.0, 0.2879793265790644), (146.0, 0.3839724354387525), (-80.0, 2.91469985083053)]","[(359.0, 143.0), (110.0, 487.0), (25.0, 367.0), (293.0, 230.0), (270.0, 258.0), (313.0, 198.0), (21.0, 447.0), (10.0, 438.0), (304.0, 211.0), (324.0, 181.0), (331.0, 170.0), (358.0, 128.0), (33.0, 462.0), (43.99999999999999, 429.0), (333.99999999999994, 203.0)]"
0,2l_2n-13,"[(94.0, 0.9686577348568529), (75.0, 0.19198621771937624)]","[(111.0, 377.0), (21.999999999999996, 358.0)]"
0,2l_2n-14,"[(-16.0, 2.5656340004316642)]","[(294.0, 267.0)]"
0,2l_2n-15,"[(-60.0, 2.7663468644110125), (3.0, 1.8500490071139892)]","[(317.00000000000006, 223.0), (212.0, 286.0)]"
0,2l_2n-16,"[(155.0, 1.1519173063162575)]","[(132.0, 438.0)]"
0,2l_2n-17,"[(205.0, 1.160643952576229), (-18.0, 2.775073510670984), (22.0, 2.5569073541716927), (7.0, 2.644173816771409)]","[(133.0, 488.0), (318.0, 265.0), (293.0, 305.0), (303.0, 290.0)]"
0,2l_2n-18,"[(24.0, 2.452187599052033), (100.0, 1.361356816555577)]","[(281.0, 307.0), (156.0, 383.0)]"
0,2l_2n-19,"[(113.0, 1.684242728174528), (124.0, 0.061086523819801536), (134.0, 0.15707963267948966), (121.0, 0.6544984694978736), (108.0, 0.5235987755982988)]","[(193.0, 396.0), (7.0, 407.0), (18.0, 417.0), (75.00000000000001, 404.0), (59.99999999999999, 391.0)]"
0,2l_2n-20,"[(146.0, 0.35779249665883756), (144.0, 0.4625122517784973), (123.0, 0.2617993877991494), (157.0, 0.4886921905584123), (115.0, 0.4886921905584123), (146.0, 0.7853981633974483), (148.0, 0.619591884457987), (-8.0, 2.2252947962927703), (168.0, 0.7853981633974483), (130.0, 0.4276056667386107), (140.0, 0.8813912722571364), (133.0, 0.22689280275926285), (97.0, 0.07853981633974483), (-79.0, 3.080506129769992), (119.0, 0.061086523819801536), (-15.0, 2.8623399732707004), (107.0, 1.0995574287564276), (92.0, 1.2828170002158321), (-36.0, 2.652900463031381), (-116.0, 3.0892327760299634), (-111.0, 2.9321531433504737), (170.0, 1.0210176124166828), (-48.0, 2.7576202181510405)]","[(41.0, 429.0), (53.0, 427.0), (29.999999999999996, 406.0), (56.0, 440.0), (56.0, 398.0), (90.0, 429.0), (71.0, 431.0), (255.0, 275.0), (90.0, 451.0), (49.0, 413.0), (101.0, 423.0), (26.000000000000004, 416.0), (9.0, 380.0), (353.0, 204.0), (7.0, 402.0), (328.0, 268.0), (126.0, 390.0), (147.0, 375.0), (304.0, 247.0), (354.00000000000006, 167.0), (336.0, 172.0), (117.0, 453.0), (316.0, 235.0)]"
0,2l_2n-21,"[(25.0, 2.0943951023931953), (74.0, 1.5969762655748114), (-22.0, 2.5394540616517496), (-4.0, 2.4085543677521746), (-29.0, 2.923426497090502)]","[(239.99999999999997, 308.0), (183.0, 357.0), (291.0, 261.0), (275.99999999999994, 279.0), (335.00000000000006, 254.0)]"
0,2l_2n-22,"[(0.0, 0.0), (3.0, 1.9024088846738192), (111.0, 0.9948376736367679)]","[(0.0, 283.0), (218.00000000000003, 286.0), (114.00000000000001, 394.0)]"
0,2l_2n-23,"[(-139.0, 3.036872898470133), (21.0, 2.1903882112528836), (112.0, 1.117010721276371), (88.0, 0.8115781021773633)]","[(348.0, 144.0), (251.00000000000003, 304.0), (128.0, 395.0), (93.00000000000001, 371.0)]"
0,2l_2n-24,"[(116.0, 1.7191493132144147), (48.0, 2.4172810140121466), (-13.0, 2.626720524251466)]","[(197.00000000000003, 399.0), (277.00000000000006, 331.0), (301.0, 270.0)]"
0,2l_2n-25,"[(67.0, 0.39269908169872414), (94.0, 1.7016960206944713), (82.0, 1.806415775814131), (87.0, 0.6108652381980153)]","[(45.0, 350.0), (195.00000000000003, 377.0), (206.99999999999997, 365.0), (70.0, 370.0)]"
0,2l_2n-26,"[(90.0, 1.509709802975095), (64.0, 1.6406094968746698), (177.0, 0.7853981633974483)]","[(173.0, 373.0), (188.0, 347.0), (90.0, 460.0)]"
0,2l_2n-27,"[(-45.0, 2.609267231731523), (189.0, 0.8813912722571364)]","[(299.00000000000006, 238.0), (101.0, 472.0)]"
0,2l_2n-28,"[(-38.0, 2.522000769131806), (166.0, 1.0471975511965976), (0.0, 1.5707963267948966)]","[(289.0, 245.0), (119.99999999999999, 449.0), (180.0, 283.0)]"
0,2l_2n-29,"[(-57.0, 2.7576202181510405)]","[(316.0, 226.0)]"
0,2l_2n-30,"[(-19.0, 2.4870941840919194), (21.0, 1.631882850614698)]","[(285.0, 264.0), (186.99999999999997, 304.0)]"
0,2l_2n-31,"[(-79.0, 2.775073510670984), (200.0, 1.5533430342749532), (1.0, 3.12413936106985)]","[(318.0, 204.0), (178.0, 483.0), (358.0, 284.0)]"
0,2l_2n-32,"[(128.0, 0.8290313946973066), (199.0, 1.5707963267948966)]","[(95.0, 411.0), (180.0, 482.0)]"
0,2l_2n-33,"[(117.0, 0.5235987755982988)]","[(59.99999999999999, 400.0)]"
0,2l_2n-34,"[(-59.0, 2.6878070480712677), (-58.0, 2.7838001569309556), (19.0, 0.061086523819801536), (-15.0, 3.097959422289935), (74.0, 0.4188790204786391), (-42.0, 2.522000769131806), (87.0, 0.5061454830783556), (45.0, 0.22689280275926285), (7.0, 2.3911010752322315), (-101.0, 3.12413936106985)]","[(308.00000000000006, 224.0), (319.0, 225.0), (7.0, 302.0), (355.0, 268.0), (48.0, 357.0), (289.0, 241.0), (58.0, 370.0), (26.000000000000004, 328.0), (274.0, 290.0), (358.0, 182.0)]"
0,2l_2n-35,"[(76.0, 2.007128639793479)]","[(229.99999999999997, 359.0)]"
0,2l_2n-36,"[(199.0, 0.0), (11.0, 1.8500490071139892), (11.0, 2.0682151636132806)]","[(0.0, 482.0), (212.0, 294.0), (237.00000000000003, 294.0)]"
0,2l_2n-37,"[(173.0, 0.5323254218582705), (-24.0, 2.522000769131806), (4.0, 2.626720524251466)]","[(61.0, 456.0), (289.0, 259.0), (301.0, 287.0)]"
0,2l_2n-38,"[(83.0, 2.3125612588924866), (63.0, 0.8115781021773633), (26.0, 0.19198621771937624), (0.0, 1.5707963267948966), (64.0, 1.213003830136059), (142.0, 0.19198621771937624), (64.0, 0.6370451769779303), (14.0, 0.10471975511965978), (161.0, 0.27052603405912107), (-24.0, 2.652900463031381)]","[(265.0, 366.0), (93.00000000000001, 346.0), (21.999999999999996, 309.0), (180.0, 283.0), (139.0, 347.0), (21.999999999999996, 425.0), (73.0, 347.0), (12.0, 297.0), (31.0, 444.0), (304.0, 259.0)]"
0,2l_2n-39,"[(163.0, 1.0995574287564276), (119.0, 1.8500490071139892), (1.0, 1.562069680534925)]","[(126.0, 446.0), (212.0, 402.0), (179.0, 284.0)]"
0,2l_2n-40,"[(151.0, 0.8726646259971648), (189.0, 0.06981317007977318), (0.0, 1.5707963267948966)]","[(100.0, 434.0), (8.0, 472.0), (180.0, 283.0)]"
0,2l_2n-41,"[(197.0, 0.4625122517784973)]","[(53.0, 480.0)]"
0,2l_2n-42,"[(1.0, 0.008726646259971648), (32.0, 1.9373154697137058), (0.0, 1.5707963267948966), (56.0, 0.619591884457987), (49.0, 0.4886921905584123), (64.0, 0.7853981633974483)]","[(1.0, 284.0), (222.0, 315.0), (180.0, 283.0), (71.0, 339.0), (56.0, 332.0), (90.0, 347.0)]"
0,2l_2n-43,"[(155.0, 0.4014257279586958), (32.0, 2.2689280275926285), (18.0, 2.356194490192345), (-76.0, 2.356194490192345), (-83.0, 2.452187599052033), (190.0, 0.7330382858376184)]","[(46.0, 438.0), (260.0, 315.0), (270.0, 301.0), (270.0, 207.0), (281.0, 200.0), (84.0, 473.0)]"
0,2l_2n-44,"[(-59.0, 2.4870941840919194), (158.0, 1.631882850614698)]","[(285.0, 224.0), (186.99999999999997, 441.0)]"
0,2l_2n-45,"[(-73.0, 2.626720524251466), (44.0, 2.234021442552742)]","[(301.0, 210.0), (256.0, 327.0)]"
0,2l_2n-46,"[(141.0, 1.8151424220741028), (88.0, 1.1519173063162575), (6.0, 2.356194490192345), (32.0, 2.234021442552742), (59.0, 1.4224433403753787), (-45.0, 2.652900463031381), (-36.0, 2.8012534494508987), (-30.0, 2.6790804018112957), (-60.0, 2.7401669256310974), (-87.0, 2.871066619530672)]","[(208.00000000000003, 424.0), (132.0, 371.0), (270.0, 289.0), (256.0, 315.0), (163.00000000000003, 342.0), (304.0, 238.0), (321.0, 247.0), (307.0, 253.0), (314.0, 223.0), (329.0, 196.0)]"
