,name,polars,labels
0,1l_1n-1,"[(67.0, 1.1082840750163994), (-18.0, 2.356194490192345)]","[(127.00000000000003, 350.0), (270.0, 265.0)]"
0,1l_1n-2,"[(198.0, 1.5795229730548683), (-103.0, 2.9321531433504737)]","[(181.0, 481.0), (336.0, 180.0)]"
0,1l_1n-3,"[(-16.0, 2.5743606466916362), (199.0, 0.0)]","[(295.0, 267.0), (0.0, 482.0)]"
0,1l_1n-4,"[(127.0, 0.6544984694978736)]","[(75.00000000000001, 410.0)]"
0,1l_1n-5,"[(-73.0, 2.9670597283903604)]","[(340.0, 210.0)]"
0,1l_1n-6,"[(199.0, 0.0), (-138.0, 3.097959422289935), (-63.0, 2.1467549799530254)]","[(0.0, 482.0), (355.0, 145.0), (246.00000000000003, 220.0)]"
0,1l_1n-7,"[(36.0, 2.199114857512855), (1.0, 1.562069680534925)]","[(252.0, 319.0), (179.0, 284.0)]"
0,1l_1n-8,"[(166.0, 0.7766715171374766)]","[(89.0, 449.0)]"
0,1l_1n-9,"[(-56.0, 3.01941960595019), (165.0, 0.1832595714594046)]","[(346.0, 227.0), (21.0, 448.0)]"
0,1l_1n-10,"[(16.0, 2.0943951023931953)]","[(239.99999999999997, 299.0)]"
0,1l_1n-11,"[(36.0, 2.1205750411731104)]","[(243.0, 319.0)]"
0,1l_1n-12,"[(0.0, 0.0), (-129.0, 3.01941960595019)]","[(0.0, 283.0), (346.0, 154.0)]"
0,1l_1n-13,"[(1.0, 3.12413936106985), (47.0, 2.356194490192345), (117.0, 2.1642082724729685), (-15.0, 3.07177948351002), (9.0, 2.8797932657906435), (40.0, 0.10471975511965978), (91.0, 2.356194490192345), (25.0, 2.6790804018112957), (-125.0, 2.6878070480712677)]","[(358.0, 284.0), (270.0, 330.0), (248.0, 400.0), (351.99999999999994, 268.0), (329.99999999999994, 292.0), (12.0, 323.0), (270.0, 374.0), (307.0, 308.0), (308.00000000000006, 158.0)]"
0,1l_1n-14,"[(32.0, 2.0245819323134224), (39.0, 0.2879793265790644)]","[(232.0, 315.0), (33.0, 322.0)]"
0,1l_1n-15,"[(209.0, 0.8115781021773633), (153.0, 0.5410520681182421), (153.0, 0.23561944901923448), (111.0, 0.17453292519943295), (156.0, 0.7853981633974483), (154.0, 0.9861110273767962), (148.0, 1.1082840750163994)]","[(93.00000000000001, 492.0), (62.0, 436.0), (27.0, 436.0), (20.0, 394.0), (90.0, 439.0), (113.00000000000001, 437.0), (127.00000000000003, 431.0)]"
0,1l_1n-16,"[(170.0, 0.4276056667386107)]","[(49.0, 453.0)]"
0,1l_1n-17,"[(-54.0, 2.792526803190927)]","[(320.0, 229.0)]"
0,1l_1n-18,"[(78.0, 1.4049900478554354), (-120.0, 3.001966313430247), (49.0, 1.7278759594743862), (78.0, 1.2915436464758039), (16.0, 2.007128639793479), (65.0, 1.4835298641951802), (127.0, 1.0471975511965976), (116.0, 1.1693705988362009)]","[(161.00000000000003, 361.0), (344.00000000000006, 163.0), (198.00000000000003, 332.0), (148.0, 361.0), (229.99999999999997, 299.0), (170.0, 348.0), (119.99999999999999, 410.0), (134.00000000000003, 399.0)]"
0,1l_1n-19,"[(-147.0, 3.115412714809878), (-13.0, 2.356194490192345), (-27.0, 2.443460952792061)]","[(357.0, 136.0), (270.0, 270.0), (280.0, 256.0)]"
0,1l_1n-20,"[(-67.0, 2.705260340591211), (106.0, 1.7627825445142729), (94.0, 1.8151424220741028)]","[(310.0, 216.0), (202.0, 389.0), (208.00000000000003, 377.0)]"
0,1l_1n-21,"[(197.0, 0.4799655442984406)]","[(55.0, 480.0)]"
