,name,polars,labels
0,3l_2n-1,"[(51.0, 2.050761871093337)]","[(235.0, 334.0)]"
0,3l_2n-2,"[(131.0, 1.239183768915974), (199.0, 1.5707963267948966), (114.0, 0.7592182246175333)]","[(142.0, 414.0), (180.0, 482.0), (87.0, 397.0)]"
0,3l_2n-3,"[(-57.0, 2.993239667170275), (103.0, 0.4188790204786391), (-137.0, 3.0106929596902186)]","[(342.99999999999994, 226.0), (48.0, 386.0), (345.0, 146.0)]"
0,3l_2n-4,"[(92.0, 0.2007128639793479), (92.0, 1.8936822384138476), (106.0, 1.736602605734358), (9.0, 0.0)]","[(23.0, 375.0), (217.00000000000003, 375.0), (199.0, 389.0), (0.0, 292.0)]"
0,3l_2n-5,"[(67.0, 1.213003830136059), (155.0, 0.8115781021773633)]","[(139.0, 350.0), (93.00000000000001, 438.0)]"
0,3l_2n-6,"[(185.0, 0.47123889803846897), (127.0, 1.4922565104551517), (20.0, 2.4609142453120048), (59.0, 2.199114857512855), (33.0, 2.356194490192345), (107.0, 1.6057029118347832), (120.0, 1.6493361431346414), (224.0, 1.1693705988362009)]","[(54.0, 468.0), (171.0, 410.0), (282.0, 303.0), (252.0, 342.0), (270.0, 316.0), (184.0, 390.0), (189.0, 403.0), (134.00000000000003, 507.0)]"
0,3l_2n-7,"[(45.0, 1.8762289458939043), (-54.0, 3.1066860685499065), (40.0, 2.033308578573394)]","[(215.0, 328.0), (356.0, 229.0), (233.0, 323.0)]"
0,3l_2n-8,"[(67.0, 0.9075712110370514), (131.0, 0.8813912722571364), (0.0, 0.0), (42.0, 0.2530727415391778)]","[(104.00000000000001, 350.0), (101.0, 414.0), (0.0, 283.0), (29.0, 325.0)]"
0,3l_2n-9,"[(156.0, 0.7068583470577035), (154.0, 0.8115781021773633), (-49.0, 2.2776546738526)]","[(81.0, 439.0), (93.00000000000001, 437.0), (261.0, 234.0)]"
0,3l_2n-10,"[(73.0, 0.22689280275926285), (30.0, 0.04363323129985824), (155.0, 1.509709802975095), (204.0, 0.2617993877991494), (197.0, 0.12217304763960307)]","[(26.000000000000004, 356.0), (5.0, 313.0), (173.0, 438.0), (29.999999999999996, 487.0), (14.0, 480.0)]"
0,3l_2n-11,"[(-11.0, 2.2951079663725436), (19.0, 2.251474735072685)]","[(263.0, 272.0), (258.0, 302.0)]"
0,3l_2n-12,"[(99.0, 2.033308578573394), (0.0, 1.5707963267948966)]","[(233.0, 382.0), (180.0, 283.0)]"
0,3l_2n-13,"[(79.0, 0.4276056667386107), (-52.0, 2.251474735072685), (1.0, 3.12413936106985)]","[(49.0, 362.0), (258.0, 231.0), (358.0, 284.0)]"
0,3l_2n-14,"[(100.0, 1.0297442586766545), (199.0, 1.5533430342749532)]","[(118.00000000000001, 383.0), (178.0, 482.0)]"
0,3l_2n-15,"[(-64.0, 2.8361600344907854), (3.0, 2.260201381332657), (0.0, 0.0), (193.0, 0.7941248096574199), (-16.0, 2.356194490192345)]","[(325.0, 219.0), (259.0, 286.0), (0.0, 283.0), (91.0, 476.0), (270.0, 267.0)]"
0,3l_2n-16,"[(-77.0, 2.705260340591211), (136.0, 0.7504915783575618)]","[(310.0, 206.0), (86.00000000000001, 419.0)]"
0,3l_2n-17,"[(154.0, 1.160643952576229), (119.0, 1.7627825445142729), (-76.0, 2.7139869868511823), (88.0, 1.9634954084936207)]","[(133.0, 437.0), (202.0, 402.0), (311.0, 207.0), (225.0, 371.0)]"
0,3l_2n-18,"[(182.0, 1.038470904936626), (9.0, 2.1903882112528836)]","[(119.0, 465.0), (251.00000000000003, 292.0)]"
0,3l_2n-19,"[(175.0, 1.710422666954443), (35.0, 0.12217304763960307)]","[(196.0, 458.0), (14.0, 318.0)]"
0,3l_2n-20,"[(198.0, 0.17453292519943295), (125.0, 1.3002702927357754), (9.0, 2.129301687433082), (0.0, 0.0)]","[(20.0, 481.0), (149.0, 408.0), (244.0, 292.0), (0.0, 283.0)]"
0,3l_2n-21,"[(-37.0, 2.478367537831948), (172.0, 1.4311699866353502)]","[(284.0, 246.0), (164.0, 455.0)]"
0,3l_2n-22,"[(-147.0, 3.0106929596902186), (-65.0, 2.670353755551324), (124.0, 1.6580627893946132)]","[(345.0, 136.0), (306.0, 218.0), (190.0, 407.0)]"
0,3l_2n-23,"[(-36.0, 2.4085543677521746), (82.0, 1.1693705988362009), (33.0, 0.07853981633974483)]","[(275.99999999999994, 247.0), (134.00000000000003, 365.0), (9.0, 316.0)]"
0,3l_2n-24,"[(62.0, 2.129301687433082), (170.0, 0.8203047484373349), (-46.0, 2.6354471705114375), (199.0, 1.5707963267948966)]","[(244.0, 345.0), (94.0, 453.0), (302.0, 237.0), (180.0, 482.0)]"
0,3l_2n-25,"[(195.0, 1.2566370614359172), (107.0, 0.6632251157578453), (1.0, 3.1328660073298216)]","[(144.0, 478.0), (76.0, 390.0), (359.0, 284.0)]"
0,3l_2n-26,"[(-64.0, 2.6616271092913526), (117.0, 0.6632251157578453)]","[(305.0, 219.0), (76.0, 400.0)]"
0,3l_2n-27,"[(28.0, 2.548180707911721), (108.0, 0.11344640137963143), (-102.0, 2.6790804018112957), (200.0, 0.008726646259971648)]","[(292.0, 311.0), (13.000000000000002, 391.0), (307.0, 181.0), (1.0, 483.0)]"
0,3l_2n-28,"[(-15.0, 2.0245819323134224), (-57.0, 2.9059732045705586), (132.0, 0.39269908169872414), (143.0, 0.47123889803846897), (139.0, 0.7853981633974483), (163.0, 0.619591884457987), (130.0, 1.038470904936626), (155.0, 1.0733774899765127)]","[(232.0, 268.0), (333.0, 226.0), (45.0, 415.0), (54.0, 426.0), (90.0, 422.0), (71.0, 446.0), (119.0, 413.0), (123.00000000000001, 438.0)]"
0,3l_2n-29,"[(-5.0, 2.426007660272118)]","[(278.0, 278.0)]"
0,3l_2n-30,"[(163.0, 0.8203047484373349), (63.0, 0.34033920413889424)]","[(94.0, 446.0), (39.0, 346.0)]"
0,3l_2n-31,"[(104.0, 1.1431906600562858), (-156.0, 2.9670597283903604)]","[(131.0, 387.0), (340.0, 127.0)]"
0,3l_2n-32,"[(-35.0, 2.38237442897226), (17.0, 2.2078415037728267), (-1.0, 1.8413223608540177)]","[(273.0, 248.0), (252.99999999999997, 300.0), (211.0, 282.0)]"
0,3l_2n-33,"[(-29.0, 2.748893571891069), (173.0, 0.5235987755982988), (-104.0, 2.7401669256310974)]","[(315.0, 254.0), (59.99999999999999, 456.0), (314.0, 179.0)]"
0,3l_2n-34,"[(32.0, 2.033308578573394), (1.0, 3.1328660073298216), (-27.0, 2.251474735072685), (151.0, 1.8413223608540177), (124.0, 2.033308578573394), (59.0, 2.4609142453120048)]","[(233.0, 315.0), (359.0, 284.0), (258.0, 256.0), (211.0, 434.0), (233.0, 407.0), (282.0, 342.0)]"
0,3l_2n-35,"[(63.0, 1.387536755335492), (170.0, 0.10471975511965978), (199.0, 1.5707963267948966), (154.0, 0.5759586531581288), (225.0, 0.6894050545377601), (-39.0, 2.9583330821303884), (226.0, 0.7853981633974483)]","[(159.0, 346.0), (12.0, 453.0), (180.0, 482.0), (66.0, 437.0), (79.0, 508.0), (339.0, 244.0), (90.0, 509.0)]"
0,3l_2n-36,"[(14.0, 2.3911010752322315), (155.0, 0.14835298641951802), (14.0, 0.017453292519943295), (-56.0, 2.7838001569309556)]","[(274.0, 297.0), (17.0, 438.0), (2.0, 297.0), (319.0, 227.0)]"
0,3l_2n-37,"[(8.0, 1.5882496193148399), (113.0, 1.239183768915974), (42.0, 1.0559241974565694)]","[(182.0, 291.0), (142.0, 396.0), (121.0, 325.0)]"
0,3l_2n-38,"[(-3.0, 2.321287905152458), (-9.0, 2.731440279371126), (137.0, 1.6144295580947547)]","[(266.0, 280.0), (313.0, 274.0), (185.0, 420.0)]"
0,3l_2n-39,"[(90.0, 1.1868238913561442), (66.0, 0.39269908169872414), (69.0, 0.9948376736367679)]","[(136.0, 373.0), (45.0, 349.0), (114.00000000000001, 352.0)]"
0,3l_2n-40,"[(182.0, 0.09599310885968812), (7.0, 2.0943951023931953), (199.0, 0.0)]","[(10.999999999999998, 465.0), (239.99999999999997, 290.0), (0.0, 482.0)]"
0,3l_2n-41,"[(18.0, 2.609267231731523), (44.0, 2.5830872929516078), (16.0, 1.6231562043547265)]","[(299.00000000000006, 301.0), (296.0, 327.0), (186.00000000000003, 299.0)]"
0,3l_2n-42,"[(43.0, 1.9373154697137058), (-97.0, 3.1066860685499065), (-89.0, 2.9845130209103035), (-74.0, 2.8448866807507573), (4.0, 2.1642082724729685)]","[(222.0, 326.0), (356.0, 186.0), (342.0, 194.0), (326.00000000000006, 209.0), (248.0, 287.0)]"
0,3l_2n-43,"[(-56.0, 2.8885199120506155), (-21.0, 2.426007660272118)]","[(331.0, 227.0), (278.0, 262.0)]"
0,3l_2n-44,"[(199.0, 0.0), (-149.0, 2.897246558310587), (-1.0, 2.626720524251466), (163.0, 0.0)]","[(0.0, 482.0), (332.00000000000006, 134.0), (301.0, 282.0), (0.0, 446.0)]"
0,3l_2n-45,"[(-69.0, 2.399827721492203), (227.0, 1.090830782496456), (84.0, 1.0122909661567112), (181.0, 1.0733774899765127)]","[(275.0, 214.0), (125.00000000000001, 510.0), (116.0, 367.0), (123.00000000000001, 464.0)]"
0,3l_2n-46,"[(34.0, 2.111848394913139), (-5.0, 2.792526803190927), (161.0, 1.6231562043547265)]","[(242.0, 317.0), (320.0, 278.0), (186.00000000000003, 444.0)]"
0,3l_2n-47,"[(-51.0, 2.548180707911721), (-17.0, 2.6878070480712677), (-100.0, 2.6878070480712677)]","[(292.0, 232.0), (308.00000000000006, 266.0), (308.00000000000006, 183.0)]"
0,3l_2n-48,"[(181.0, 0.6370451769779303), (180.0, 1.6057029118347832), (102.0, 1.4922565104551517)]","[(73.0, 464.0), (184.0, 463.0), (171.0, 385.0)]"
0,3l_2n-49,"[(162.0, 0.8726646259971648), (45.0, 1.806415775814131)]","[(100.0, 445.0), (206.99999999999997, 328.0)]"
0,3l_2n-50,"[(47.0, 1.3264502315156905), (94.0, 1.9460421159736774), (-2.0, 2.897246558310587)]","[(152.0, 330.0), (223.0, 377.0), (332.00000000000006, 281.0)]"
0,3l_2n-51,"[(93.0, 1.1344640137963142), (9.0, 1.6406094968746698), (25.0, 1.5271630954950384)]","[(130.0, 376.0), (188.0, 292.0), (175.00000000000003, 308.0)]"
0,3l_2n-52,"[(-81.0, 2.7401669256310974), (74.0, 0.19198621771937624)]","[(314.0, 202.0), (21.999999999999996, 357.0)]"
0,3l_2n-53,"[(188.0, 1.265363707695889), (33.0, 1.3962634015954636), (148.0, 1.2217304763960306), (199.0, 1.5707963267948966)]","[(145.00000000000003, 471.0), (160.0, 316.0), (140.0, 431.0), (180.0, 482.0)]"
0,3l_2n-54,"[(24.0, 1.4748032179352084), (104.0, 0.30543261909900765), (186.0, 0.1832595714594046), (-107.0, 2.670353755551324), (2.0, 0.017453292519943295)]","[(169.0, 307.0), (35.0, 387.0), (21.0, 469.0), (306.0, 176.0), (2.0, 285.0)]"
0,3l_2n-55,"[(27.0, 2.2689280275926285), (44.0, 2.0682151636132806), (166.0, 0.9162978572970231)]","[(260.0, 310.0), (237.00000000000003, 327.0), (105.0, 449.0)]"
0,3l_2n-56,"[(131.0, 0.12217304763960307), (-85.0, 3.1328660073298216), (-11.0, 2.2863813201125716)]","[(14.0, 414.0), (359.0, 198.0), (262.0, 272.0)]"
0,3l_2n-57,"[(-77.0, 2.8448866807507573), (-7.0, 2.478367537831948)]","[(326.00000000000006, 206.0), (284.0, 276.0)]"
0,3l_2n-58,"[(68.0, 0.2617993877991494), (-89.0, 2.7663468644110125), (36.0, 2.111848394913139), (69.0, 0.767944870877505)]","[(29.999999999999996, 351.0), (317.00000000000006, 194.0), (242.0, 319.0), (87.99999999999999, 352.0)]"
0,3l_2n-59,"[(-33.0, 2.600540585471551), (-31.0, 2.3387411976724017)]","[(298.0, 250.0), (268.00000000000006, 252.0)]"
0,3l_2n-60,"[(-7.0, 3.07177948351002), (-32.0, 2.722713633111154), (132.0, 0.9424777960769379)]","[(351.99999999999994, 276.0), (312.0, 251.0), (108.0, 415.0)]"
0,3l_2n-61,"[(-41.0, 2.443460952792061), (-36.0, 3.115412714809878), (155.0, 0.5235987755982988)]","[(280.0, 242.0), (357.0, 247.0), (59.99999999999999, 438.0)]"
0,3l_2n-62,"[(130.0, 0.3752457891787809), (-113.0, 2.871066619530672), (-1.0, 1.5795229730548683)]","[(43.00000000000001, 413.0), (329.0, 170.0), (181.0, 282.0)]"
0,3l_2n-63,"[(160.0, 1.0122909661567112), (125.0, 1.335176877775662), (130.0, 1.1955505376161157)]","[(116.0, 443.0), (153.0, 408.0), (137.0, 413.0)]"
