,name,polars,labels
0,1l_2n-1,"[(128.0, 1.0297442586766545), (166.0, 0.5323254218582705), (177.0, 0.16580627893946132), (156.0, 0.3839724354387525), (148.0, 0.7853981633974483), (124.0, 1.1955505376161157), (132.0, 0.7853981633974483), (185.0, 0.8115781021773633), (158.0, 0.08726646259971647), (137.0, 1.335176877775662), (115.0, 1.4398966328953218), (115.0, 0.7853981633974483), (105.0, 0.7155849933176751), (75.0, 1.5533430342749532)]","[(118.00000000000001, 411.0), (61.0, 449.0), (19.0, 460.0), (43.99999999999999, 439.0), (90.0, 431.0), (137.0, 407.0), (90.0, 415.0), (93.00000000000001, 468.0), (10.0, 441.0), (153.0, 420.0), (164.99999999999997, 398.0), (90.0, 398.0), (82.0, 388.0), (178.0, 358.0)]"
0,1l_2n-2,"[(19.0, 2.0158552860534504)]","[(230.99999999999997, 302.0)]"
0,1l_2n-3,"[(-151.0, 3.115412714809878), (169.0, 0.16580627893946132), (-123.0, 2.975786374650332), (-70.0, 2.6790804018112957), (178.0, 0.35779249665883756), (111.0, 1.8849555921538759), (-87.0, 2.7663468644110125), (-120.0, 2.6354471705114375), (195.0, 0.20943951023931956)]","[(357.0, 132.0), (19.0, 452.0), (341.00000000000006, 160.0), (307.0, 213.0), (41.0, 461.0), (216.0, 394.0), (317.00000000000006, 196.0), (302.0, 163.0), (24.0, 478.0)]"
0,1l_2n-4,"[(115.0, 1.6580627893946132), (17.0, 2.5830872929516078), (3.0, 2.6965336943312392), (47.0, 0.2879793265790644), (-42.0, 2.9583330821303884)]","[(190.0, 398.0), (296.0, 300.0), (309.0, 286.0), (33.0, 330.0), (339.0, 241.0)]"
0,1l_2n-5,"[(155.0, 0.6981317007977318)]","[(80.0, 438.0)]"
0,1l_2n-6,"[(199.0, 0.0)]","[(0.0, 482.0)]"
0,1l_2n-7,"[(144.0, 1.457349925415265)]","[(166.99999999999997, 427.0)]"
0,1l_2n-8,"[(-148.0, 3.0106929596902186)]","[(345.0, 135.0)]"
0,1l_2n-9,"[(-90.0, 2.7838001569309556), (199.0, 0.0)]","[(319.0, 193.0), (0.0, 482.0)]"
0,1l_2n-10,"[(0.0, 0.0), (-128.0, 2.775073510670984), (94.0, 1.7191493132144147)]","[(0.0, 283.0), (318.0, 155.0), (197.00000000000003, 377.0)]"
0,1l_2n-11,"[(79.0, 0.2617993877991494), (93.0, 0.4625122517784973), (80.0, 0.05235987755982989), (62.0, 0.11344640137963143), (92.0, 1.0559241974565694), (74.0, 0.5759586531581288), (88.0, 1.2566370614359172), (128.0, 0.6544984694978736), (-43.0, 3.1066860685499065), (107.0, 0.9773843811168246), (117.0, 0.7853981633974483), (47.0, 1.736602605734358), (32.0, 1.8936822384138476), (54.0, 1.6144295580947547), (135.0, 0.4886921905584123), (82.0, 1.160643952576229), (81.0, 0.7853981633974483)]","[(29.999999999999996, 362.0), (53.0, 376.0), (6.0, 363.0), (13.000000000000002, 345.0), (121.0, 375.0), (66.0, 357.0), (144.0, 371.0), (75.00000000000001, 411.0), (356.0, 240.0), (112.0, 390.0), (90.0, 400.0), (199.0, 330.0), (217.00000000000003, 315.0), (185.0, 337.0), (56.0, 418.0), (133.0, 365.0), (90.0, 364.0)]"
0,1l_2n-12,"[(123.0, 1.160643952576229), (189.0, 0.9773843811168246), (163.0, 1.6755160819145565), (192.0, 0.7853981633974483), (127.0, 1.9634954084936207), (116.0, 2.033308578573394), (188.0, 1.5184364492350666), (167.0, 1.5009831567151235), (204.0, 1.4049900478554354), (160.0, 1.2479104151759457)]","[(133.0, 406.0), (112.0, 472.0), (192.0, 446.0), (90.0, 475.0), (225.0, 410.0), (233.0, 399.0), (174.0, 471.0), (172.00000000000003, 450.0), (161.00000000000003, 487.0), (143.0, 443.0)]"
0,1l_2n-13,"[(-3.0, 2.530727415391778), (-41.0, 2.7663468644110125), (-29.0, 2.705260340591211), (121.0, 1.5533430342749532)]","[(290.00000000000006, 280.0), (317.00000000000006, 242.0), (310.0, 254.0), (178.0, 404.0)]"
0,1l_2n-14,"[(-124.0, 2.8623399732707004), (129.0, 0.7853981633974483), (0.0, 0.0), (126.0, 0.9599310885968813), (138.0, 0.619591884457987), (6.0, 2.9321531433504737)]","[(328.0, 159.0), (90.0, 412.0), (0.0, 283.0), (110.0, 409.0), (71.0, 421.0), (336.0, 289.0)]"
0,1l_2n-15,"[(-7.0, 2.2427480888127134), (-4.0, 2.356194490192345), (-14.0, 2.426007660272118), (97.0, 0.5061454830783556), (88.0, 0.7853981633974483), (92.0, 0.3839724354387525), (94.0, 0.6283185307179586), (-35.0, 2.5656340004316642), (-39.0, 2.6790804018112957), (-61.0, 2.6790804018112957), (110.0, 0.7853981633974483), (-78.0, 2.775073510670984)]","[(257.0, 276.0), (270.0, 279.0), (278.0, 269.0), (58.0, 380.0), (90.0, 371.0), (43.99999999999999, 375.0), (72.0, 377.0), (294.0, 248.0), (307.0, 244.0), (307.0, 222.0), (90.0, 393.0), (318.0, 205.0)]"
0,1l_2n-16,"[(18.0, 2.17293491873294)]","[(249.0, 301.0)]"
0,1l_2n-17,"[(157.0, 0.5410520681182421), (118.0, 0.9948376736367679), (107.0, 0.7853981633974483), (109.0, 1.2479104151759457)]","[(62.0, 440.0), (114.00000000000001, 401.0), (90.0, 390.0), (143.0, 392.0)]"
0,1l_2n-18,"[(196.0, 0.7504915783575618)]","[(86.00000000000001, 479.0)]"
0,1l_2n-19,"[(1.0, 2.626720524251466), (131.0, 1.4835298641951802), (92.0, 1.5271630954950384)]","[(301.0, 284.0), (170.0, 414.0), (175.00000000000003, 375.0)]"
0,1l_2n-20,"[(79.0, 1.5446163880149817)]","[(177.00000000000003, 362.0)]"
0,1l_2n-21,"[(-25.0, 3.0543261909900767), (0.0, 0.0)]","[(350.00000000000006, 258.0), (0.0, 283.0)]"
0,1l_2n-22,"[(149.0, 0.4625122517784973), (-1.0, 1.5707963267948966), (199.0, 1.5707963267948966), (199.0, 0.0)]","[(53.0, 432.0), (180.0, 282.0), (180.0, 482.0), (0.0, 482.0)]"
0,1l_2n-23,"[(-75.0, 3.045599544730105), (180.0, 0.9250245035569946)]","[(349.0, 208.0), (106.0, 463.0)]"
0,1l_2n-24,"[(67.0, 0.3490658503988659)]","[(40.0, 350.0)]"
0,1l_2n-25,"[(-100.0, 3.0543261909900767), (164.0, 0.3141592653589793), (7.0, 1.8238690683340744)]","[(350.00000000000006, 183.0), (36.0, 447.0), (209.00000000000003, 290.0)]"
0,1l_2n-26,"[(57.0, 0.6457718232379019), (193.0, 0.8639379797371931), (-176.0, 3.07177948351002), (189.0, 0.9599310885968813), (157.0, 1.2566370614359172), (151.0, 1.038470904936626), (122.0, 1.631882850614698), (139.0, 1.387536755335492), (-13.0, 2.356194490192345), (198.0, 0.061086523819801536), (-162.0, 2.9670597283903604), (-188.0, 3.0892327760299634), (195.0, 0.4625122517784973), (152.0, 1.4224433403753787), (82.0, 1.9547687622336491)]","[(74.0, 340.0), (99.00000000000001, 476.0), (351.99999999999994, 107.0), (110.0, 472.0), (144.0, 440.0), (119.0, 434.0), (186.99999999999997, 405.0), (159.0, 422.0), (270.0, 270.0), (7.0, 481.0), (340.0, 121.0), (354.00000000000006, 95.0), (53.0, 478.0), (163.00000000000003, 435.0), (224.0, 365.0)]"
0,1l_2n-27,"[(95.0, 1.2828170002158321), (199.0, 1.5707963267948966)]","[(147.0, 378.0), (180.0, 482.0)]"
0,1l_2n-28,"[(186.0, 0.9250245035569946), (173.0, 0.7853981633974483)]","[(106.0, 469.0), (90.0, 456.0)]"
0,1l_2n-29,"[(129.0, 1.4660765716752369)]","[(168.0, 412.0)]"
0,1l_2n-30,"[(-22.0, 2.871066619530672), (3.0, 2.91469985083053)]","[(329.0, 261.0), (333.99999999999994, 286.0)]"
0,1l_2n-31,"[(91.0, 1.9896753472735358)]","[(228.00000000000003, 374.0)]"
0,1l_2n-32,"[(199.0, 1.5707963267948966), (108.0, 1.0995574287564276)]","[(180.0, 482.0), (126.0, 391.0)]"
0,1l_2n-33,"[(125.0, 0.8203047484373349)]","[(94.0, 408.0)]"
