,name,polars,labels
0,2l_2n-1,"[(163.0, 0.4886921905584123), (94.0, 0.33161255787892263)]","[(56.0, 446.0), (38.0, 377.0)]"
0,2l_2n-2,"[(199.0, 0.4363323129985824), (199.0, 1.5707963267948966)]","[(50.0, 482.0), (180.0, 482.0)]"
0,2l_2n-3,"[(4.0, 2.251474735072685)]","[(258.0, 287.0)]"
0,2l_2n-4,"[(-18.0, 2.426007660272118), (88.0, 0.9686577348568529)]","[(278.0, 265.0), (111.0, 371.0)]"
0,2l_2n-5,"[(151.0, 0.5148721293383273), (130.0, 1.6057029118347832)]","[(59.00000000000001, 434.0), (184.0, 413.0)]"
0,2l_2n-6,"[(-18.0, 2.3300145514124297), (138.0, 1.5969762655748114)]","[(267.0, 265.0), (183.0, 421.0)]"
0,2l_2n-7,"[(165.0, 0.7243116395776468)]","[(83.00000000000001, 448.0)]"
0,2l_2n-8,"[(-57.0, 2.993239667170275), (-3.0, 2.3911010752322315)]","[(342.99999999999994, 226.0), (274.0, 280.0)]"
0,2l_2n-9,"[(82.0, 0.3665191429188092), (158.0, 0.6457718232379019)]","[(42.0, 365.0), (74.0, 441.0)]"
0,2l_2n-10,"[(166.0, 1.5446163880149817), (142.0, 1.1082840750163994)]","[(177.00000000000003, 449.0), (127.00000000000003, 425.0)]"
0,2l_2n-11,"[(159.0, 1.631882850614698), (0.0, 1.5707963267948966), (158.0, 0.7504915783575618), (76.0, 0.7853981633974483)]","[(186.99999999999997, 442.0), (180.0, 283.0), (86.00000000000001, 441.0), (90.0, 359.0)]"
0,2l_2n-12,"[(-86.0, 2.7139869868511823)]","[(311.0, 197.0)]"
0,2l_2n-13,"[(-66.0, 2.9408797896104453), (57.0, 1.413716694115407)]","[(337.0, 217.0), (162.0, 340.0)]"
0,2l_2n-14,"[(-38.0, 2.530727415391778)]","[(290.00000000000006, 245.0)]"
0,2l_2n-15,"[(5.0, 2.3736477827122884)]","[(272.0, 288.0)]"
0,2l_2n-16,"[(104.0, 0.4363323129985824)]","[(50.0, 387.0)]"
0,2l_2n-17,"[(67.0, 0.6021385919380436), (0.0, 1.5707963267948966)]","[(68.99999999999999, 350.0), (180.0, 283.0)]"
0,2l_2n-18,"[(28.0, 2.17293491873294), (50.0, 1.064650843716541)]","[(249.0, 311.0), (122.0, 333.0)]"
0,2l_2n-19,"[(9.0, 2.3300145514124297), (1.0, 3.1328660073298216), (66.0, 0.1832595714594046)]","[(267.0, 292.0), (359.0, 284.0), (21.0, 349.0)]"
0,2l_2n-20,"[(199.0, 0.0), (7.0, 1.9896753472735358), (125.0, 0.15707963267948966), (0.0, 1.5707963267948966)]","[(0.0, 482.0), (228.00000000000003, 290.0), (18.0, 408.0), (180.0, 283.0)]"
0,2l_2n-21,"[(165.0, 0.9512044423369096), (171.0, 0.39269908169872414)]","[(109.00000000000001, 448.0), (45.0, 454.0)]"
0,2l_2n-22,"[(157.0, 1.2479104151759457)]","[(143.0, 440.0)]"
0,2l_2n-23,"[(0.0, 1.5707963267948966), (199.0, 0.0), (181.0, 1.4835298641951802)]","[(180.0, 283.0), (0.0, 482.0), (170.0, 464.0)]"
0,2l_2n-24,"[(-97.0, 2.9583330821303884), (99.0, 0.3752457891787809)]","[(339.0, 186.0), (43.00000000000001, 382.0)]"
0,2l_2n-25,"[(158.0, 1.335176877775662), (193.0, 0.10471975511965978)]","[(153.0, 441.0), (12.0, 476.0)]"
0,2l_2n-26,"[(124.0, 1.117010721276371)]","[(128.0, 407.0)]"
0,2l_2n-27,"[(146.0, 1.0122909661567112), (126.0, 0.5323254218582705), (95.0, 1.1868238913561442), (-61.0, 2.8448866807507573), (-50.0, 2.6354471705114375), (138.0, 0.7330382858376184), (90.0, 0.9948376736367679), (-72.0, 2.9408797896104453), (86.0, 0.7853981633974483), (-87.0, 2.949606435870417), (126.0, 0.9075712110370514), (78.0, 1.3264502315156905), (47.0, 1.7715091907742444), (-31.0, 2.6878070480712677), (-19.0, 2.600540585471551), (122.0, 0.2879793265790644), (118.0, 1.0122909661567112), (30.0, 2.356194490192345), (110.0, 0.15707963267948966), (95.0, 0.008726646259971648), (65.0, 1.5969762655748114), (11.0, 2.452187599052033)]","[(116.0, 429.0), (61.0, 409.0), (136.0, 378.0), (326.00000000000006, 222.0), (302.0, 233.0), (84.0, 421.0), (114.00000000000001, 373.0), (337.0, 211.0), (90.0, 369.0), (338.0, 196.0), (104.00000000000001, 409.0), (152.0, 361.0), (203.0, 330.0), (308.00000000000006, 252.0), (298.0, 264.0), (33.0, 405.0), (116.0, 401.0), (270.0, 313.0), (18.0, 393.0), (1.0, 378.0), (183.0, 348.0), (281.0, 294.0)]"
0,2l_2n-28,"[(-16.0, 2.356194490192345), (56.0, 0.16580627893946132), (53.0, 0.32288591161895097), (60.0, 0.44505895925855404), (32.0, 2.111848394913139)]","[(270.0, 267.0), (19.0, 339.0), (37.0, 336.0), (51.0, 343.0), (242.0, 315.0)]"
0,2l_2n-29,"[(-63.0, 2.705260340591211), (0.0, 0.0), (83.0, 0.2617993877991494), (199.0, 1.5707963267948966), (222.0, 0.41015237421866746)]","[(310.0, 220.0), (0.0, 283.0), (29.999999999999996, 366.0), (180.0, 482.0), (47.0, 505.0)]"
0,2l_2n-30,"[(171.0, 1.6406094968746698), (1.0, 3.1328660073298216), (13.0, 2.731440279371126), (0.0, 2.8361600344907854)]","[(188.0, 454.0), (359.0, 284.0), (313.0, 296.0), (325.0, 283.0)]"
0,2l_2n-31,"[(-2.0, 2.2252947962927703), (129.0, 0.9250245035569946)]","[(255.0, 281.0), (106.0, 412.0)]"
0,2l_2n-32,"[(-18.0, 2.5743606466916362), (108.0, 0.7068583470577035)]","[(295.0, 265.0), (81.0, 391.0)]"
0,2l_2n-33,"[(-13.0, 2.426007660272118), (59.0, 1.361356816555577), (54.0, 2.0682151636132806), (-82.0, 2.609267231731523), (136.0, 0.05235987755982989), (19.0, 2.2863813201125716)]","[(278.0, 270.0), (156.0, 342.0), (237.00000000000003, 337.0), (299.00000000000006, 201.0), (6.0, 419.0), (262.0, 302.0)]"
0,2l_2n-34,"[(126.0, 1.6493361431346414), (156.0, 0.8813912722571364)]","[(189.0, 409.0), (101.0, 439.0)]"
0,2l_2n-35,"[(-151.0, 2.923426497090502), (83.0, 1.858775653373961)]","[(335.00000000000006, 132.0), (213.0, 366.0)]"
0,2l_2n-36,"[(112.0, 0.16580627893946132), (-53.0, 2.670353755551324), (193.0, 0.39269908169872414), (204.0, 0.6108652381980153), (-36.0, 2.609267231731523), (-93.0, 3.0281462522101616), (191.0, 0.14835298641951802), (-23.0, 2.356194490192345), (-76.0, 2.897246558310587), (166.0, 0.13962634015954636), (150.0, 0.04363323129985824), (11.0, 2.356194490192345)]","[(19.0, 395.0), (306.0, 230.0), (45.0, 476.0), (70.0, 487.0), (299.00000000000006, 247.0), (347.0, 190.0), (17.0, 474.0), (270.0, 260.0), (332.00000000000006, 207.0), (16.0, 449.0), (5.0, 433.0), (270.0, 294.0)]"
0,2l_2n-37,"[(-9.0, 2.7663468644110125), (40.0, 1.7976891295541595)]","[(317.00000000000006, 274.0), (206.00000000000003, 323.0)]"
0,2l_2n-38,"[(146.0, 0.7941248096574199), (56.0, 1.4922565104551517)]","[(91.0, 429.0), (171.0, 339.0)]"
0,2l_2n-39,"[(112.0, 0.1832595714594046), (57.0, 2.234021442552742)]","[(21.0, 395.0), (256.0, 340.0)]"
0,2l_2n-40,"[(160.0, 0.27052603405912107), (-34.0, 2.155481626212997), (-57.0, 2.4347343065320897)]","[(31.0, 443.0), (247.0, 249.0), (279.0, 226.0)]"
0,2l_2n-41,"[(-198.0, 3.1328660073298216), (-52.0, 3.0630528372500483), (89.0, 1.9198621771937625), (0.0, 1.5707963267948966), (10.0, 1.911135530933791)]","[(359.0, 85.0), (351.0, 231.0), (220.0, 372.0), (180.0, 283.0), (219.00000000000003, 293.0)]"
